words,tagname
the noble steeds of the elven gods can sometimes be persuaded to allow mere mortals on their backs,NONE
faugh snorted tahngarth why would it make a meal of something like you squee looked relieved no he continued youd make a much better toothpick,NONE
pockets full of gold lungs full of brine,NONE
the smell of roasted flesh hung over the valley for hours onean sergeant,Tapestry
the demon had flown past the reach of ereboss whip but not the point of the sun gods spear,Tapestry
my goat was a small price to pay for the chance to see the hunting griffin dive and seize it pashad ibn asim suqata trader,Tapestry
do not mistake your lofty vantage point for safety shaper tuvasa,Tapestry
nature grows solutions to its problems,NONE
though many think of wolves as solitary predators they are actually extremely social animals during a hunt they often call to each other which can be quite unsettling for their prey,Tapestry
protected by glamers and guile glen elendra harbors the elusive oona queen of the fae,Tapestry
three daggers left in an angels back three enforcers with memory loss three keys stolen from my own beltand you talk of peace tajic to aurelia,Tapestry
hi ni ya behold the man of flint thats me  four lightnings zigzag from me strike and return navajo war chant,Tapestry
everything serves a purpose even you vorel of the hull clade,Tapestry
innistrad is a place where dreams invade the mind and mere shadows exact a terrible toll,Tapestry
the gates open to my new era,Tapestry
in a climate of suspicion isperia gathered the guilds to propose a radical idea cooperation,Tapestry
the light of beauty protects our journeys through darkness,Tapestry
how could you not hear it approach its a hippo argivian commander,Tapestry
i have been gifted by the kami with long life so far they have not seen fit to withdraw their gift there may yet be a way to stop the killing without more blood human or kami being spilled dosan the falling leaf,Tapestry
those that fall short of perfection can still contribute to the great work keskit the flesh sculptor,NONE
an eye for detail a mind for numbers a soul of clockwork,NONE
the unnatural pressures of life in this city are best withstood by lifeforms that adapt with unnatural swiftness momir vig,Tapestry
one distracts the victim the other extracts the valuables,Tapestry
the sound of the trumpets lights a fire in the hearts of the bold and snuffs the courage of the cowardly,NONE
your flesh is unprepared for my gifts,Tapestry
its so cute when its sleeping isnt it actually its still as abhorrent as ever but at least its not trying to kill us noyan dar tazeem lullmage,Tapestry
i use maps to find out where explorers have already been then i go the other way javad nasrin ondu relic hunter,Tapestry
my time will come when every soul will bask in my glory and obey my law,Tapestry
the forests constant struggle is to keep the spreading flowstone at bay,NONE
you were so eager to take and consume yet when asked to give you refuse,NONE
he grants endless wishes as long as you always wish for a blade,Tapestry
the constant shifting of dominarias shredded timeline played havoc with its atmosphere combining savage electrical storms from ages past,Tapestry
everyone wants to be on the winning side,Tapestry
i am that merry wanderer of the night william shakespeare a midsummer nights dream,Tapestry
silent slithering sinister,Tapestry
though the old holy wards and roadside shrines have begun to fail faith in avacyn still holds true power,Tapestry
the only true immortality is in dying for a cause halvor arensson kjeldoran priest,Tapestry
voska feared the artifact had come too easily,NONE
i certainly would have accepted my offer of eternal life but if you choose death instead who am i to argue,Tapestry
its good to learn from your failures but i prefer to learn from the failures of others jace beleren,Tapestry
i got your milk right here,NONE
i asked if they wanted to do things the easy way i meant easy for me,Tapestry
the ideas came flooding in so fast that they couldnt all be contained,Tapestry
only a mind unfettered with the concerns of the flesh can see the world as it truly is,Tapestry
the street swarm is the labor class that drives the golgaris endless cycle of life and death,Tapestry
doors walls skulls    it matters not all barriers will be broken,NONE
as the elves learned the hymns of angels the knights learned the roars of titans,Tapestry
we may have lost faith in our gods but we are far from losing faith in ourselves munda ambush leader,NONE
the flame paints a bright wheel on the sky then shifts into a stabbing spark the enemy falls the smoke of victory rises legends of the firedancer,Tapestry
the crueler vampires idea of freerange farming,Tapestry
the elves of naya were the last to acknowledge the massive shift of mana in their world,Tapestry
unlike previous conflicts the war between urza and mishra made dominaria itself a casualty of war,NONE
the soldier moved with fluid poise his awareness extending far beyond five senses,NONE
if the system is broken break the system domri rade,Tapestry
as my hands touched it i realized that i had not found itit had been leading me here,Tapestry
esper mages devised their weapons to be so devastating that war seemed unnecessary,Tapestry
one who is marked by a demon in life is sure to be remembered as one in death,NONE
let the land dwellers know the coast is no longer the border between our realms a new age of empire has begun,NONE
no signs of any suspicious activity yet,NONE
thassa felt no need to punish the sailors for their folly in crossing the straits the kraken would do it for her,Tapestry
her sword sings more beautifully than any choir,Tapestry
the cost of your opposition will be extracted from your wits nekusar the mindrazer,Tapestry
at last proof that its not all in my head,Tapestry
you need a six all right everyone she needs a six,Tapestry
too much workit takes a long time to break them in and more than a few recruits grebog goblin swinerider,Tapestry
my drivers are trustworthy i removed their tongues myself any other questions,Tapestry
the common folk are ceaselessly active the fields are fertile and the soil productive and neither flood nor drought plagues us a shu diplomat,Tapestry
kozileks brood infiltrates and deceives the spawn of ulamog mindlessly consume,NONE
in death as in life they protect the grand arbiter from exposure to contrary points of view,Tapestry
the pen is mightier than the crown,NONE
some spectators love an underdog but others are just as happy to support a proven winner,Tapestry
the beauty of it is they never see it coming ever razzix sparkmage,NONE
its plow wasnt designed for snow but to carve a path through shrieking armies,Tapestry
hong kong,Tapestry
the sea holds all that you need you simply must know how to ask for it,NONE
the best leaders are made by their followers,NONE
serum was once derived from mirrodins blinkmoths offering visions of inspiration now it is pulled from phyrexian inkmoths yielding visions of perfection,Tapestry
phyrexias machines take inspiration from nature twisted disturbing inspiration,Tapestry
the bear is never cautiouswhich is why it wasnt born a human mirri of the weatherlight,Tapestry
squee bounced up and down i sees a horsey an a piggy an a if you dont shut up hissed mirri youll see a kidney and a spleeny,Tapestry
her people angered zendikar and they faced the lands wrath that is why nissa is the last of the animists numa joraga chieftain,Tapestry
we cant quite determine what theyre doing but they seem to be doing it quite well vedalken research notes,Tapestry
if your blood doesnt run hot i will make it run in the sands maraxus of keld,NONE
a good gruul shaman can work a whole clan into a frenzy a great one will wait until the enemys nearby,Tapestry
a satyr is bound by nothingnot home not family not loyalty,Tapestry
tritons borrow the camouflage of their oceanic prey to become predators on land,NONE
just the place for a picnic murat death speaker,NONE
hurkyls research at the college of latnam wasnt enough to stop the two brothers but for centuries thereafter her spellcraft taught artificers restraint,Tapestry
the bears wade into time rifts to feed they do not fear the storms and they are quick enough to snatch prey just as it blinks in or out of time,Tapestry
with tilonallis gifts even the smallest of us can become great huatli,Tapestry
if youre looking for it its available the question is how much youre willing to pay,Tapestry
a solution in search of a problem,NONE
her palm flared like the eye of a waking dragon then all was calm,Tapestry
to exact his vengeance extus needed followers his infiltrators recruited promising magestudents from the very halls he sought to destroy,Tapestry
one alone is fearsome one among many is unstoppable benalish proverb,Tapestry
it fears no sword and leaves no bones behind,Tapestry
in the waning moments of war humanitys most ancient ancestors return but whose side shall they make their own isao enlightened bushi,Tapestry
a single eye blinded by rage,Tapestry
beauty to the eye does not always translate to the touch naimah femeref philospher,Tapestry
with a broadside assault captain vance carved the cliffs to form her new home,Tapestry
pass me from soul to soul  soldier to herder herder to beast beast to soil  until i am everywhere  then pass me those souls totem inscription translated,Tapestry
the most important skill in a mage tower match is keeping ones cool,Tapestry
those whose lives were uninspired are doomed to the wretched tedium of phylias in death,Tapestry
and at his passing the bodies of the worlds great warriors shall rise from their graves and follow him to battle the anvilonian grimoire,Tapestry
the raging behir reared back opened its terrible maw    and collapsed in a fit of horrifying giggles,Tapestry
all warfare is based on deception sun tzu art of war trans giles,Tapestry
its not my job to ask our leaders about their experiments at the knowledge pool its my job to make sure they can continue performing them,Tapestry
centuries of wind rain and roots compressed into an instant of destruction such is the power of selesnya,Tapestry
if the whole world burns ill never grow cold,Tapestry
no howl no snarl just the roar of flames,Tapestry
our unity renews our strength,Tapestry
her children are ever part of her,Tapestry
ive seen my share of baubles minister whatever ostentatious bit of glitter you have there wont convince me to  oh my emperor ayrelion,Tapestry
the most feared of azorius punishments is to be freedsent back out into the world stripped of all magical defenses,Tapestry
hallowed be this compilation of mixed objects,Tapestry
after the battle of pharagax bridge the champion spent many months among the leonin of oreskos she found that they were quick to take offense not because they were thinskinned but because they were always eager for a fight the theriad,Tapestry
you have given all to your kingdom dear knight serenity shall be your prize queen lian,Tapestry
headquartered at the bastion of the honorable the soldiers of ghirapur are charged with the task of keeping peace in the city,Tapestry
there is always another way,NONE
barrin always said that reality is relative the world he cautioned is but pieces of ones perception ertai wizard adept,Tapestry
the paladins would be wise not to forget about the pearl trident the merfolk warriors have turned the tide of more than one human war  and i have no doubt they shall do so again onean scholar,NONE
it wont bring them back but it will bring me peace,Tapestry
few remember that ashnods defilement of terisiares resources outstripped even that of her peers,Tapestry
since the war began fishermen dont sing to the kaijin to ask for full nets they guard the shore with thriceblessed spears saving the nets for their wives to pack their belongings and leave hayato master sailor,Tapestry
this is the forest primeval the murmuring pines and the hemlocks     stand like druids of old henry wadsworth longfellow evangeline,Tapestry
taniwha rolls in its sleep and the land is awash with the waves poetics of hanan,Tapestry
the wizards spellbook was full of burning questions,Tapestry
our kind has taken my gift for granted it is time to correct that folly,Tapestry
too chaotic for even the other warlords of keld maraxus has devoted himself to serving as a hired killer for the sinister volrath a man fond of his work hes more than willing to put in those extra hours needed to perfect his craft,Tapestry
treacherous and unpredictable currents around tolaria earned the nickname serpent wakes,Tapestry
cmon fiend ill carve you up like a harvesttide ham,Tapestry
anarchy comes in many forms social individual gruul,NONE
the orzhov contract the izzet to animate slum districts and banish them to the wastes the gruul adopt them and send them back to the city for vengeance,Tapestry
when the shadow of the aven falls across the battlefield hope rises in the hearts of the soldiers,Tapestry
this shield is a true rarity an artifact whose purpose is obvious arcum dagsson soldevi machinist,Tapestry
choices are rarely as simple as they seem,NONE
old home never forgotten new home ours forever,NONE
i see elk and lion and teeth a lot of teeth teraklos of meletis,Tapestry
while lazav schemed and nivmizzet researched trostani sought the future in the whispers of the past,Tapestry
its stature and stride increase with each step it takes,Tapestry
suddenly she couldnt see the acorns for the trees,Tapestry
inner strength is never seen until it makes all the difference,NONE
the winged helms of the guard are put on for pageantsbut taken off for war,NONE
i will not rest until every vestige of the consulateevery banner flag and standardhas fallen,Tapestry
the goblins revered it the viashino defended it only urza understood it,Tapestry
relative of yours ertai teased mirri simply sneered,NONE
oketras closest viziers are known as her chosen though others may have a better claim to that moniker,NONE
your signet is no symbol of power it marks only your need for numbers to aid you what do you do guildrat now that you face my blade alone,NONE
the vats are selfcontained worlds bubbling and churning with unnatural speed boiling down eons of change into moments,Tapestry
with innovative stabilizing techniques suja pavani brings this piece of the sky itself to the inventors fair,NONE
i am the storm,NONE
pathetic let me show you how its done,NONE
ogre shamans must be bright enough to learn their invocations and dim enough to use them,NONE
do not call the balduvians barbaric their magic is as potent as it is primal zur the enchanter,NONE
your own frailty is your undoing i am merely the one to expose it,Tapestry
der lwe zwinkerte ausdruck der femeref fr noch einmal davongekommen,Tapestry
it took three years for it to occur to him to use the chain as a weapon but once it did he made up for lost time,Tapestry
architects find inspiration in the dragons beauty of form while artificers are influenced by the function of its fire,Tapestry
i cannot read these runes yet somehow they seem like a warning have we passed unknowingly into a new realm ekken omenseeker navigator,NONE
legend speaks of the sun spear the mighty weapon that can strike any point in theros even the depths of the underworld,NONE
in the hold of the heart of kiran chandra answered dovin baans sabotage with an explosive retort,Tapestry
hesitation is for the faithless my belief lends me speed,Tapestry
of all the things that can be stolen opportunity is the most valuable,Tapestry
the wisdom of the past is written on the bones of ancients,Tapestry
priests of bant protect their temples with traps more elaborate than any mosaic floor,Tapestry
your path lies across the spine of the world where every cave hides some new danger,Tapestry
these are its last days but it will not go quietly,Tapestry
enjoy your deception vuel gerrard said as volraths features melted from the dead shapeshifter ill count this one as practice,Tapestry
fear the knight leaping from the water into the air weapon ready,NONE
he will carve out a legend for himself with his own two hands,Tapestry
valiant icatia was the last of the sarpadian empires to fall its faithful soldiers defended their cities to the very end sarpadian empires vol vi,NONE
why do you weep for the dead i rejoice for they have died for me fallen angel to serra,NONE
as the elves learned the hymns of angels the knights learned the roars of titans,NONE
after the battle of pharagax bridge the champion spent many months among the leonin of oreskos she found that they were quick to take offense not because they were thinskinned but because they were always eager for a fight the theriad,Tapestry
kithkin jealously hoard their knowledge of poultices and remedies so that no outside threat can benefit from their wisdom,Tapestry
grave robbers digging down cautiously listen for anything digging up,Tapestry
a spiteful force exists on ravnica that binds these ghosts to the land of the living but forbids them to touch it,NONE
grease up a firecannon good and proper with dinosaurliver oil and itll shoot just about anything,Tapestry
he does not tolerate intruders,NONE
as peace returned to thraben some cathars made the mistake of letting down their guard,NONE
people came from miles away just to see the head of the hammer,Tapestry
the dead whisper to the living if you listen you will learn maro,Tapestry
until all have found their place i will keep watch,NONE
passions cant be shackled by laws or mastered with logic the choice is freedom or death volume iv the book of fire,NONE
on mirrodin every conflict ends in either death or darksteel,Tapestry
few among the living understand just how much of their world is shaped by the ruins of the dead,NONE
there is beauty in the space between learning to fly and taking it for granted,Tapestry
kothophed bestowed upon liliana eternal youth carved into her skin as intricate tattoos,NONE
slow the consulate with whatever youve got jasi ganin master siphoner,Tapestry
marhault elsdragon follows a strict philosophy never letting emotions cloud his thoughts no chance observer could imagine the rage in his heart,Tapestry
eenie meenie minie moe    oh why not all of them jaya ballard task mage,Tapestry
on jund even the landscape is a deadly hunter volcanoes tar pits and rock slides seem to prey upon the living,Tapestry
fire is the universal language jhoira master artificer,Tapestry
some merfolk choose to rest their fins in the water i believe wisdom exists not only where we were born but where we were told not to go,NONE
with the hekma destroyed the wandering dead that sought entrance to naktamun had free rein to lay waste to the city,NONE
some clouds heed no wind,Tapestry
their thoughts flow through my mind and i am healed fyndhorn elder,NONE
a cinders axe bears no marks from parrying a foes blade,NONE
she will not be content until hers is the highest head in the sky,Tapestry
thanks to havenguls thriving illegal market for corpses the shovel that interred a body during the day is usually the same one digging it out at night,Tapestry
once favored companions many cats were left to fend for themselves,Tapestry
friends teach what you want to know enemies teach what you need to know,Tapestry
the shield of unimpeachable purity is as strong as any wrought on the anvil,Tapestry
belief matters more than truth every moment belief in imaginary things alters lives while truth sits unnoticed and waits hakim loreweaver,Tapestry
what you are attempting is not against the law it is however extremely foolish,Tapestry
this creature is inadequate send it to the splicers for innovation malcator executor of synthesis,NONE
stunned by the mere presence of the leonin kha the nim raider quickly fell to its knees,Tapestry
there will come a time when the gods will look at mortals and shudder uremides the philosopher,Tapestry
every sword drawn to defend is an angelic blade guided to justice by an angelic hand auriok proverb,NONE
sure i hear things i hear plenty but how am i to talk with this parched throat,Tapestry
its lock changes to fit each key,NONE
its roots are equally happy to drink the water of a clear stream or the oily blood of a phyrexian warrior,Tapestry
most trudges are covered with decaying plant matter making them ideal breeding grounds for fungal spores,Tapestry
when rhonas fell his followers stirred with newfound strengtha final gift from a god they thought indomitable,NONE
let everything return to its true nature so that destiny may takes its course,Tapestry
the loxodons believe punishment comes in two steps pain and atonement they carry a weapon for each,Tapestry
i never thought id spend my life fighting im a maker not a destroyer,NONE
never start a fight you cant finish padril council guardian,Tapestry
the hour of your redemption is here    rally to me    rise and strike strike at every favorable opportunity for your homes and hearths strike general douglas macarthur to the people of the philippines,NONE
the way opened before him and the dust of centuries stirred in the air,NONE
magistrate ludy agreed to designate land for the brushstriders only after several broken windows and dozens of missing blinicakes,Tapestry
what warrior worth the name fears to leave a trail if my enemies seek me let them follow the ashes in my wake,Tapestry
kelpies are drawn to paradoxes making them ideal companions for quandrix mages,Tapestry
all those who trade in questions must answer to the dimir,NONE
this sliver comes into the world a perfect predator its ready to hunt and devour its first meal within seconds of hatching rukarumel field journal,NONE
it embodies the riotous growth of the jungle where creatures crowd upon creatures where roots sprawl and vines swarm,Tapestry
we made tempestuous winds obedient to solomon    and many of the devils we also made obedient to him the quran,Tapestry
jaharg discovered that the shapes and symmetries so pleasing to the sculptors eye also yielded a wellbalanced bludgeon,Tapestry
a good courier travels fast and asks no questions,Tapestry
before armor there was bark before blades there were thorns molimo marosorcerer,Tapestry
this may hurt a lot,NONE
tonight madam its your money and your life,Tapestry
a basilisks gaze is effective but disposing of physical remains is a tiresome task its far more discreet to dissolve ones victim entirely szadek,Tapestry
a basilisks gaze is effective but disposing of physical remains is a tiresome task its far more discreet to dissolve ones victim entirely szadek,Tapestry
the most ancient streets take on a life of their own a few have decided to move to nicer neighborhoods,Tapestry
the land rises up to defend against those who would spoil its beauty,Tapestry
this shield is a true rarity an artifact whose purpose is obvious arcum dagsson soldevi machinist,Tapestry
occasionally a member of the institute of arcane study acquires a taste for worldly pleasures seldom do they have trouble finding employment,Tapestry
well how could i know theyd explode gregel township militia,NONE
from razaketh liliana gained sway over the living weak mortal souls became her playthings,Tapestry
every day order clerics contain as much of the miraris energy as possible hoping to delay otarias demise,Tapestry
blood drips blood sings blood devours all and only blood remains ogre chant,Tapestry
tread upon these flower beds at your own peril emmara,NONE
textiles at the inventors fair feature threads from every corner of kaladesh,NONE
let them send their legions i will show them that my truth is stronger than their swords general varchild,Tapestry
within silent clearings guarded by living palisades the natural world guards its most precious secrets,Tapestry
one alone is fearsome one among many is unstoppable benalish proverb,Tapestry
no shadow remains for you to hide in caparocti sunborn,NONE
commander whats the signal to attack youll know,Tapestry
a king in jund a serf in esper,Tapestry
i escaped so why do i still feel like im being watched gregel militia leader,Tapestry
beneath the faes constant pranks runs a subtler undercurrent of mockery the influence of oona their hidden queen,Tapestry
the glow in their eyes reveals more than anger or madness,Tapestry
so everyone gets what they truly deserve i will keep watch,Tapestry
heres how ya win dont let the other guy hit back first jula goblin raider,NONE
jingling coins beckon many an eager hand,Tapestry
dust and memory are all that remain in ulamogs wake,Tapestry
secure in the embrace of wood they want no part of eladamris war,NONE
nothing restrains a burning passion,NONE
she sold her soul to four demons for powerful gifts,Tapestry
if youre not surrounded by decadence my question to you iswhy not,Tapestry
hold on tight little one ill get you to safety,Tapestry
words never uttered by mortals flowed incessantly from its many mouths,NONE
words never uttered by mortals flowed incessantly from its many mouths,NONE
deserts are inhospitable not uninhabitable,Tapestry
my power is generosity in a way i give my survivors an appreciation for their lives,Tapestry
friends teach what you want to know enemies teach what you need to know,Tapestry
there is always a rabble to be roused,NONE
at first the equations were simply numbers but in those numbers i saw a story and in that story i saw a pattern and suddenly it all fit together,Tapestry
my grandmother had sold the rest of her jewelry long ago but she left a particular necklace in my care a golden chain bearing a ravenshaped charm,Tapestry
doesnt look like much does it alexi zephyr mage,Tapestry
my mount needs neither reins nor bridle we both share a common purpose,Tapestry
recruits arent always volunteers,NONE
the only way to get mercadians to fight on the front lines is to give them really long weapons gerrard,NONE
each scar on its hide is a badge of honor,Tapestry
a small price to keep such pretty things safe,NONE
often greatly outnumbered in battle dwarves relied on catapults as one means of damaging a large army sarpadian empires vol iv,NONE
they are trained from hatching to deliver aid where it is needed most,NONE
i look to the heavens for hope but you will kneel,Tapestry
until all have found their place i will keep watch,Tapestry
drink deep and find your vengeance fulfilled,Tapestry
why does it destroy it does and to talk of reasons wastes time and breath nirthu lone missionary,Tapestry
when i said we needed more swords to protect the realm this was not quite what i had in mind olander tactician of the northern verge,Tapestry
although mute hoverguards get their message across loud and clear,Tapestry
the dead whisper to the living if you listen you will learn maro,Tapestry
a skullkeeper is the first to arrive after the palace archers strike down intruders probing their brains for choice bits of knowledge,NONE
age wears the flesh but galvanizes the soul,Tapestry
the sun was born within its coils but it fled to the sky the wurm hungers for its child and the world will bear its loss screed of the mul daya,Tapestry
zombies have one speed shamble,NONE
like a volcano it too can erupt without warning,NONE
i am a dragonslayer for lord silumgar there is no dragon save him whom i fear xathi the infallible,Tapestry
near the western seas lies mount zhaoyaoa forest of stones that reaches the clouds a bountiful land of wondrous treasures and strange animals,Tapestry
we all hide a little madness behind our sophistication do we not,NONE
in the gardens of the centaurs many travelers have mysteriously vanished while admiring the elaborate topiaries,Tapestry
the vulshok see the artificer as a catalyst bringing the spark of creation that ignites change,Tapestry
who you callin shorty,Tapestry
it turns the adversity of the moment into the knowledge of a lifetime,NONE
feeding a normal army is a problem of logistics with zombies it is an asset feeding is why they fight feeding is why they are feared jadar ghoulcaller of nephalia,Tapestry
if a boggart even dares breathe near one of my kin ill know and ill not be happy,NONE
the path offered by the academy is long and difficult but those who brave it arrive at wisdom beyond compare,NONE
as the sun reaches its zenith on the day of the solstice a castle shimmers into view on the hilltop just as the ancient text predicted,Tapestry
captain angrath cares less about treasure than mayhem if he cant leave ixalan hell burn the plane down,Tapestry
a long way down is shorter than you think,Tapestry
after death you face paradise damnation or tariel priests teaching,Tapestry
ive lived too long in my fathers shadow its time to find my own light killian silverquill magestudent,Tapestry
the blessed sleep doesnt come easily to a mind chained by regrets,Tapestry
after the rape of argoth forest during the rule of the artificers the pixies of argoth bent their magic to more practical ends,Tapestry
i was a mere cutpurse until i learned the going rate for fresh corpses,Tapestry
great generals inspire by example goblin chieftains inspire by electrifying the barracks,Tapestry
no longer the village pariah no longer taunted and shamed sigrun was finally free,NONE
we do not hide from the dragons that pretend to rule the skies if we did the dragons would become our rulers and our way of life would be lost,Tapestry
we could no more abandon the forest than the stars could abandon the night sky,NONE
tezzerets command of living metal has nothing to do with intricate gearcraft or aether supplies,Tapestry
the surest way to lose your holdings is to plead for them in mercadia citys courts,Tapestry
i fight for the suns the surface and everything in between,NONE
even in her absence the light elspeth kindled in our hearts never faltered,Tapestry
when a changeling adopts a form no other changeling has taken a rune appears in the caverns of velis vel to mark the event,Tapestry
the first satyr to wake after a revel must search for the site of the next one,Tapestry
to the rakdos the fun is in the shakedown the loot is usually discarded,Tapestry
the imps warbling cries echo through phyrexias towers like those of mourning doves in a cathedral,Tapestry
finders keepers,NONE
its growl is a long rumbling grind of gears and clockwork its bark a blast of hissing steam,Tapestry
crovax had witnessed selenia lead the predator to the weatherlight as the battle raged on deck he felt his strength melt in the heat of her betrayal,NONE
it is a grim duty to save the world from those created to protect it,NONE
forget that which was never known spellbomb inscription,NONE
dominaria touches us all molimo marosorcerer,Tapestry
there are few ways to escape the deathmark bargaining with a demon washing in the fabled waters of youth and of course death,Tapestry
with this throne unite your nation throne inscription,NONE
our formation was scattered after sea gate fell if youre fighting the eldrazi consider us your newest recruits,Tapestry
buy something or get out,Tapestry
better living through metallurgy,Tapestry
my cause is power and at the altar of power i will gladly forfeit my soul,Tapestry
keep rising,Tapestry
an artificer of unparalleled renown urza was a powerful cipher even before he was able to planeswalk seeing the world as a large integrated machine is his greatest strength and weakness enabling him to solve almost any problem but blinding him to his solutions effects on others,Tapestry
the secret to our war paint is hot peppers and stinkbugs lots of stinkbugs skab goblin secretkeeper,NONE
it left behind an echoing emptiness more horrible than the grave,Tapestry
one need not know the specific details of a spell to suppress its effect simply rearrange the rules of the reality within which the spell operates imbraham quandrix dean,Tapestry
for the first time elves welcomed benalish soldiers into the forest with something other than arrows,Tapestry
it chews open mirrodins husk and feeds on the outpouring of energy,Tapestry
the bones of allies grant wisdom the bones of enemies grant strength the bones of dragons grant life eternal,Tapestry
the tools of the past will help us forge the future,Tapestry
the commander tells the troops where to go but the standard reminds them why theyre there,Tapestry
my people serve the dragon kolaghan but i give my blood for a greater lord,NONE
